f_acidente;d_classificacaoacidente
331693;Com Vítimas Feridas
331694;Com Vítimas Feridas
331696;Sem Vítimas
331699;Com Vítimas Feridas
331701;Com Vítimas Feridas
331702;Com Vítimas Feridas
331703;Sem Vítimas
331704;Sem Vítimas
331706;Sem Vítimas
331707;Com Vítimas Feridas
331708;Sem Vítimas
331709;Com Vítimas Feridas
331710;Com Vítimas Feridas
331711;Com Vítimas Feridas
331712;Com Vítimas Fatais
331714;Com Vítimas Feridas
331715;Com Vítimas Feridas
331716;Com Vítimas Fatais
331717;Com Vítimas Feridas
331718;Com Vítimas Fatais
331719;Sem Vítimas
331721;Sem Vítimas
331722;Sem Vítimas
331724;Com Vítimas Fatais
331725;Com Vítimas Fatais
331726;Com Vítimas Feridas
331727;Com Vítimas Feridas
331728;Com Vítimas Feridas
331729;Com Vítimas Feridas
331730;Com Vítimas Feridas
331731;Com Vítimas Feridas
331732;Com Vítimas Feridas
331733;Com Vítimas Feridas
331777;Com Vítimas Feridas
331778;Sem Vítimas
331779;Com Vítimas Feridas
331780;Sem Vítimas
331781;Com Vítimas Feridas
331782;Com Vítimas Feridas
331783;Com Vítimas Feridas
331785;Com Vítimas Feridas
331787;Com Vítimas Feridas
331788;Com Vítimas Feridas
331789;Sem Vítimas
331790;Com Vítimas Feridas
331791;Com Vítimas Feridas
331792;Com Vítimas Feridas
331793;Com Vítimas Feridas
331794;Com Vítimas Feridas
331795;Com Vítimas Feridas
331797;Com Vítimas Feridas
331798;Com Vítimas Feridas
331800;Com Vítimas Feridas
331801;Sem Vítimas
331804;Com Vítimas Feridas
331805;Com Vítimas Fatais
331807;Com Vítimas Feridas
331808;Sem Vítimas
331809;Com Vítimas Feridas
331810;Com Vítimas Feridas
331811;Com Vítimas Fatais
331812;Sem Vítimas
331813;Com Vítimas Feridas
331814;Com Vítimas Feridas
331815;Com Vítimas Feridas
331816;Com Vítimas Feridas
331817;Com Vítimas Feridas
331818;Com Vítimas Feridas
331819;Com Vítimas Feridas
331820;Com Vítimas Feridas
331821;Com Vítimas Feridas
331823;Com Vítimas Feridas
331824;Com Vítimas Feridas
331825;Com Vítimas Feridas
331827;Com Vítimas Feridas
331828;Com Vítimas Feridas
331829;Sem Vítimas
331830;Com Vítimas Feridas
331833;Com Vítimas Feridas
331834;Sem Vítimas
331835;Sem Vítimas
331836;Com Vítimas Feridas
331837;Sem Vítimas
331838;Com Vítimas Feridas
331839;Com Vítimas Feridas
331841;Com Vítimas Feridas
331842;Com Vítimas Feridas
