f_acidente;d_condicaometereologica
331693;Nublado
331694;Céu Claro
331696;Nublado
331699;Nublado
331701;Chuva
331702;Céu Claro
331703;Chuva
331704;Nublado
331706;Nublado
331707;Céu Claro
331708;Céu Claro
331709;Nublado
331710;Céu Claro
331711;Céu Claro
331712;Nevoeiro/Neblina
331714;Céu Claro
331715;Céu Claro
331716;Chuva
331717;Nublado
331718;Céu Claro
331719;Céu Claro
331721;Chuva
331722;Céu Claro
331724;Céu Claro
331725;Céu Claro
331726;Nublado
331727;Nublado
331728;Céu Claro
331729;Nublado
331730;Nublado
331731;Céu Claro
331732;Nublado
331733;Nublado
331777;Céu Claro
331778;Chuva
331779;Céu Claro
331780;Nublado
331781;Ignorado
331782;Céu Claro
331783;Céu Claro
331785;Céu Claro
331787;Céu Claro
331788;Nublado
331789;Céu Claro
331790;Céu Claro
331791;Nublado
331792;Céu Claro
331793;Chuva
331794;Garoa/Chuvisco
331795;Céu Claro
331797;Nublado
331798;Sol
331800;Chuva
331801;Céu Claro
331804;Céu Claro
331805;Céu Claro
331807;Céu Claro
331808;Céu Claro
331809;Nublado
331810;Sol
331811;Céu Claro
331812;Nublado
331813;Céu Claro
331814;Nublado
331815;Céu Claro
331816;Céu Claro
331817;Céu Claro
331818;Garoa/Chuvisco
331819;Chuva
331820;Sol
331821;Céu Claro
331823;Nublado
331824;Chuva
331825;Céu Claro
331827;Céu Claro
331828;Nublado
331829;Céu Claro
331830;Céu Claro
331833;Chuva
331834;Nublado
331835;Garoa/Chuvisco
331836;Céu Claro
331837;Sol
331838;Céu Claro
331839;Céu Claro
331841;Nublado
331842;Nublado
331843;Nublado
331844;Céu Claro
331845;Céu Claro
331846;Céu Claro
331847;Chuva
331848;Nublado
331849;Céu Claro
331850;Chuva
331851;Nublado
331852;Céu Claro
331853;Céu Claro
331854;Garoa/Chuvisco
331855;Garoa/Chuvisco
331856;Céu Claro
331857;Céu Claro
331858;Chuva
331860;Céu Claro
331861;Céu Claro
331863;Céu Claro
331864;Nublado
331865;Céu Claro
331866;Céu Claro
331869;Céu Claro
331870;Céu Claro
331871;Céu Claro
331873;Chuva
331874;Nublado
331875;Céu Claro
331876;Céu Claro
331878;Chuva
331879;Nublado
331881;Céu Claro
331882;Céu Claro
331883;Nublado
331884;Céu Claro
331885;Chuva
331886;Nublado
331887;Céu Claro
331888;Chuva
331889;Garoa/Chuvisco
331890;Céu Claro
331891;Nublado
331892;Nublado
331893;Céu Claro
331895;Céu Claro
331896;Nublado
331897;Céu Claro
331898;Céu Claro
331899;Céu Claro
331900;Nublado
331902;Nublado
331903;Nublado
331904;Céu Claro
331905;Nublado
331906;Chuva
331907;Céu Claro
331908;Céu Claro
331909;Nublado
331910;Nublado
331911;Céu Claro
331912;Céu Claro
331914;Garoa/Chuvisco
331915;Céu Claro
331916;Céu Claro
331917;Céu Claro
331918;Nublado
331920;Chuva
331922;Céu Claro
331923;Chuva
331924;Chuva
331925;Céu Claro
331927;Céu Claro
331929;Céu Claro
331930;Nublado
331933;Céu Claro
331934;Céu Claro
331935;Nublado
331937;Chuva
331938;Céu Claro
331939;Céu Claro
331940;Céu Claro
331941;Céu Claro
331942;Garoa/Chuvisco
331944;Céu Claro
331945;Céu Claro
331946;Nublado
331947;Chuva
331948;Nublado
331951;Nublado
331952;Céu Claro
331953;Ignorado
331954;Ignorado
331956;Chuva
331957;Ignorado
331958;Céu Claro
331959;Céu Claro
331960;Céu Claro
331961;Garoa/Chuvisco
331962;Céu Claro
331963;Chuva
331964;Céu Claro
331965;Sol
331967;Garoa/Chuvisco
331968;Céu Claro
331969;Céu Claro
331971;Céu Claro
331972;Sol
331977;Nublado
331978;Sol
331979;Sol
331980;Céu Claro
331981;Céu Claro
331982;Céu Claro
331983;Sol
331984;Nublado
331985;Céu Claro
331987;Céu Claro
331988;Sol
331989;Céu Claro
331990;Céu Claro
331991;Sol
331992;Céu Claro
331993;Céu Claro
331994;Nublado
331995;Sol
331996;Céu Claro
331997;Céu Claro
331998;Céu Claro
331999;Céu Claro
332001;Céu Claro
332002;Céu Claro
332003;Chuva
332005;Céu Claro
332006;Sol
332007;Céu Claro
332008;Chuva
332009;Chuva
332010;Céu Claro
332011;Chuva
332012;Chuva
332013;Céu Claro
332014;Nublado
332015;Nublado
332016;Céu Claro
332017;Sol
332018;Céu Claro
332019;Sol
332020;Nublado
332022;Céu Claro
332023;Céu Claro
332024;Nublado
332025;Chuva
332026;Nublado
332027;Garoa/Chuvisco
332028;Chuva
332030;Céu Claro
332032;Nublado
332033;Céu Claro
332034;Céu Claro
332035;Nublado
332036;Chuva
332037;Chuva
332039;Chuva
332041;Nublado
332042;Nublado
332043;Garoa/Chuvisco
332044;Céu Claro
332045;Céu Claro
332046;Céu Claro
332048;Chuva
332049;Chuva
332052;Nublado
332053;Céu Claro
332054;Sol
332055;Céu Claro
332056;Céu Claro
332057;Céu Claro
332059;Garoa/Chuvisco
332060;Céu Claro
332061;Chuva
332062;Nublado
332063;Céu Claro
332064;Chuva
332065;Nublado
332066;Chuva
332068;Chuva
332069;Céu Claro
332070;Nublado
332071;Nublado
332072;Chuva
332073;Nublado
332074;Céu Claro
332075;Sol
332076;Chuva
332077;Céu Claro
332078;Céu Claro
332079;Nublado
332081;Chuva
332082;Céu Claro
332083;Céu Claro
332085;Chuva
332086;Céu Claro
332087;Chuva
332088;Chuva
332089;Vento
332090;Céu Claro
332091;Céu Claro
332092;Céu Claro
332093;Céu Claro
332094;Nublado
332095;Nublado
332096;Nublado
332097;Céu Claro
332098;Céu Claro
332100;Garoa/Chuvisco
332101;Céu Claro
332102;Céu Claro
332103;Chuva
332104;Céu Claro
332105;Chuva
332106;Chuva
332107;Nublado
332108;Céu Claro
332110;Chuva
332111;Nublado
332112;Nublado
332113;Céu Claro
332114;Céu Claro
332116;Nublado
332117;Nublado
332119;Céu Claro
332120;Chuva
332121;Céu Claro
332122;Chuva
332123;Garoa/Chuvisco
332124;Céu Claro
332125;Céu Claro
332126;Céu Claro
332127;Chuva
332128;Garoa/Chuvisco
332129;Nublado
332130;Céu Claro
332131;Céu Claro
332132;Céu Claro
332133;Céu Claro
332134;Chuva
332135;Céu Claro
332136;Chuva
332138;Nublado
332139;Céu Claro
332140;Chuva
332141;Nublado
332142;Céu Claro
332143;Ignorado
332144;Chuva
332145;Ignorado
