f_acidente;d_dataacidente
331693;01/01/2021
331694;01/01/2021
331696;01/01/2021
331699;01/01/2021
331701;01/01/2021
331702;01/01/2021
331703;01/01/2021
331704;01/01/2021
331706;01/01/2021
331707;01/01/2021
331708;01/01/2021
331709;01/01/2021
331710;01/01/2021
331711;01/01/2021
331712;01/01/2021
331714;01/01/2021
331715;01/01/2021
331716;01/01/2021
331717;01/01/2021
331718;01/01/2021
331719;01/01/2021
331721;01/01/2021
331722;01/01/2021
331724;01/01/2021
331725;01/01/2021
331726;01/01/2021
331727;01/01/2021
331728;01/01/2021
331729;01/01/2021
331730;01/01/2021
331731;01/01/2021
331732;01/01/2021
331733;01/01/2021
331777;01/01/2021
331778;01/01/2021
331779;01/01/2021
331780;01/01/2021
331781;01/01/2021
331782;01/01/2021
331783;01/01/2021
331785;01/01/2021
331787;01/01/2021
331788;01/01/2021
331789;01/01/2021
331790;01/01/2021
331791;01/01/2021
331792;01/01/2021
331793;01/01/2021
331794;01/01/2021
331795;01/01/2021
331797;01/01/2021
331798;01/01/2021
331800;01/01/2021
331801;01/01/2021
331804;01/01/2021
331805;01/01/2021
331807;01/01/2021
331808;01/01/2021
331809;01/01/2021
331810;01/01/2021
331811;01/01/2021
331812;01/01/2021
331813;01/01/2021
331814;01/01/2021
331815;01/01/2021
331816;01/01/2021
331817;01/01/2021
331818;01/01/2021
331819;01/01/2021
331820;01/01/2021
331821;01/01/2021
331823;01/01/2021
331824;01/01/2021
331825;01/01/2021
331827;01/01/2021
331828;01/01/2021
331829;01/01/2021
331830;01/01/2021
331833;01/01/2021
331834;01/01/2021
331835;01/01/2021
331836;01/01/2021
331837;01/01/2021
331838;01/01/2021
331839;01/01/2021
331841;01/01/2021
331842;01/01/2021
331843;01/01/2021
331844;01/01/2021
331845;01/01/2021
331846;01/01/2021
331847;01/01/2021
331848;01/01/2021
331849;01/01/2021
331850;01/01/2021
331851;01/01/2021
331852;01/01/2021
331853;01/01/2021
331854;01/01/2021
331855;01/01/2021
331856;01/01/2021
331857;01/01/2021
331858;01/01/2021
331860;01/01/2021
331861;01/01/2021
331863;01/01/2021
331864;01/01/2021
331865;01/01/2021
331866;01/01/2021
331869;01/01/2021
331870;01/01/2021
331871;01/01/2021
331873;01/01/2021
331874;01/01/2021
331875;01/01/2021
331876;01/01/2021
331878;01/01/2021
331879;01/01/2021
331881;01/01/2021
331882;01/01/2021
331883;01/01/2021
331884;01/01/2021
331885;01/01/2021
331886;01/01/2021
331887;01/01/2021
331888;01/01/2021
331889;01/01/2021
331890;01/01/2021
331891;01/01/2021
331892;01/01/2021
331893;01/01/2021
331895;01/01/2021
331896;01/01/2021
331897;01/01/2021
331898;01/01/2021
331899;01/01/2021
