f_acidente;d_fasedia
331693;Plena Noite
331694;Plena Noite
331696;Plena Noite
331699;Plena Noite
331701;Plena Noite
331702;Plena Noite
331703;Plena Noite
331704;Plena Noite
331706;Plena Noite
331707;Plena Noite
331708;Plena Noite
331709;Plena Noite
331710;Plena Noite
331711;Plena Noite
331712;Plena Noite
331714;Plena Noite
331715;Amanhecer
331716;Plena Noite
331717;Plena Noite
331718;Plena Noite
331719;Amanhecer
331721;Plena Noite
331722;Plena Noite
331724;Amanhecer
331725;Amanhecer
331726;Plena Noite
331727;Plena Noite
331728;Amanhecer
331729;Amanhecer
331730;Amanhecer
331731;Pleno dia
331732;Amanhecer
331733;Amanhecer
331777;Pleno dia
331778;Pleno dia
331779;Amanhecer
331780;Amanhecer
331781;Plena Noite
331782;Pleno dia
331783;Plena Noite
331785;Amanhecer
331787;Pleno dia
331788;Pleno dia
331789;Pleno dia
331790;Amanhecer
331791;Plena Noite
331792;Pleno dia
331793;Plena Noite
331794;Pleno dia
331795;Pleno dia
331797;Amanhecer
331798;Pleno dia
331800;Pleno dia
331801;Amanhecer
331804;Pleno dia
331805;Pleno dia
331807;Pleno dia
331808;Pleno dia
331809;Pleno dia
331810;Pleno dia
331811;Pleno dia
331812;Pleno dia
331813;Pleno dia
331814;Pleno dia
331815;Pleno dia
331816;Pleno dia
331817;Pleno dia
331818;Pleno dia
331819;Pleno dia
331820;Pleno dia
331821;Pleno dia
331823;Pleno dia
331824;Pleno dia
331825;Pleno dia
331827;Pleno dia
331828;Pleno dia
331829;Pleno dia
331830;Pleno dia
331833;Pleno dia
331834;Pleno dia
331835;Pleno dia
331836;Pleno dia
331837;Pleno dia
331838;Pleno dia
331839;Pleno dia
331841;Pleno dia
331842;Pleno dia
331843;Pleno dia
331844;Pleno dia
331845;Pleno dia
331846;Pleno dia
331847;Pleno dia
331848;Pleno dia
331849;Pleno dia
331850;Pleno dia
331851;Pleno dia
331852;Pleno dia
331853;Pleno dia
331854;Pleno dia
331855;Pleno dia
331856;Pleno dia
331857;Pleno dia
331858;Pleno dia
331860;Pleno dia
331861;Pleno dia
331863;Pleno dia
331864;Pleno dia
331865;Pleno dia
331866;Pleno dia
331869;Pleno dia
331870;Pleno dia
331871;Pleno dia
331873;Pleno dia
331874;Pleno dia
331875;Pleno dia
331876;Pleno dia
331878;Anoitecer
331879;Pleno dia
331881;Pleno dia
331882;Pleno dia
331883;Pleno dia
331884;Plena Noite
331885;Pleno dia
331886;Pleno dia
331887;Plena Noite
331888;Pleno dia
331889;Plena Noite
331890;Pleno dia
331891;Anoitecer
331892;Anoitecer
331893;Pleno dia
331895;Plena Noite
331896;Plena Noite
331897;Plena Noite
331898;Pleno dia
331899;Plena Noite
331900;Plena Noite
331902;Plena Noite
331903;Anoitecer
331904;Plena Noite
331905;Plena Noite
331906;Plena Noite
331907;Anoitecer
331908;Plena Noite
331909;Plena Noite
331910;Plena Noite
331911;Anoitecer
331912;Pleno dia
331914;Plena Noite
331915;Plena Noite
331916;Plena Noite
331917;Plena Noite
331918;Plena Noite
331920;Plena Noite
331922;Plena Noite
331923;Plena Noite
331924;Plena Noite
331925;Plena Noite
331927;Plena Noite
331929;Plena Noite
331930;Plena Noite
331933;Plena Noite
331934;Plena Noite
331935;Plena Noite
331937;Plena Noite
331938;Plena Noite
331939;Plena Noite
331940;Plena Noite
331941;Plena Noite
331942;Plena Noite
331944;Plena Noite
331945;Plena Noite
331946;Plena Noite
331947;Plena Noite
331948;Plena Noite
331951;Plena Noite
331952;Amanhecer
331953;Plena Noite
331954;Amanhecer
331956;Plena Noite
331957;Amanhecer
331958;Pleno dia
331959;Pleno dia
331960;Pleno dia
331961;Pleno dia
331962;Pleno dia
331963;Pleno dia
331964;Amanhecer
331965;Pleno dia
331967;Pleno dia
331968;Plena Noite
331969;Plena Noite
331971;Pleno dia
331972;Pleno dia
331977;Pleno dia
331978;Pleno dia
331979;Pleno dia
331980;Pleno dia
331981;Pleno dia
331982;Pleno dia
331983;Pleno dia
331984;Pleno dia
331985;Pleno dia
331987;Pleno dia
331988;Pleno dia
331989;Pleno dia
331990;Pleno dia
331991;Pleno dia
331992;Pleno dia
331993;Pleno dia
331994;Pleno dia
331995;Pleno dia
331996;Pleno dia
331997;Pleno dia
331998;Pleno dia
331999;Pleno dia
332001;Pleno dia
332002;Pleno dia
332003;Pleno dia
332005;Pleno dia
332006;Pleno dia
332007;Pleno dia
332008;Pleno dia
332009;Pleno dia
332010;Pleno dia
332011;Pleno dia
332012;Pleno dia
332013;Pleno dia
332014;Pleno dia
332015;Pleno dia
332016;Pleno dia
332017;Pleno dia
332018;Pleno dia
332019;Pleno dia
332020;Pleno dia
332022;Pleno dia
332023;Pleno dia
332024;Pleno dia
332025;Pleno dia
332026;Pleno dia
332027;Pleno dia
332028;Pleno dia
332030;Pleno dia
332032;Pleno dia
332033;Pleno dia
332034;Pleno dia
332035;Pleno dia
332036;Pleno dia
332037;Pleno dia
332039;Pleno dia
332041;Pleno dia
332042;Pleno dia
332043;Pleno dia
332044;Pleno dia
332045;Pleno dia
332046;Pleno dia
332048;Pleno dia
332049;Pleno dia
332052;Pleno dia
332053;Pleno dia
332054;Pleno dia
332055;Pleno dia
332056;Pleno dia
332057;Pleno dia
332059;Pleno dia
332060;Pleno dia
332061;Anoitecer
332062;Pleno dia
332063;Pleno dia
332064;Pleno dia
332065;Pleno dia
332066;Pleno dia
332068;Anoitecer
332069;Pleno dia
332070;Pleno dia
332071;Pleno dia
332072;Anoitecer
332073;Plena Noite
332074;Pleno dia
332075;Pleno dia
332076;Plena Noite
332077;Pleno dia
332078;Plena Noite
332079;Pleno dia
332081;Plena Noite
332082;Pleno dia
332083;Plena Noite
332085;Plena Noite
332086;Plena Noite
332087;Plena Noite
332088;Plena Noite
332089;Pleno dia
332090;Plena Noite
332091;Plena Noite
332092;Plena Noite
332093;Pleno dia
332094;Anoitecer
332095;Plena Noite
332096;Plena Noite
332097;Plena Noite
332098;Plena Noite
332100;Plena Noite
332101;Plena Noite
332102;Plena Noite
332103;Plena Noite
332104;Plena Noite
332105;Pleno dia
332106;Anoitecer
332107;Plena Noite
332108;Plena Noite
332110;Plena Noite
332111;Pleno dia
332112;Plena Noite
332113;Plena Noite
332114;Pleno dia
332116;Plena Noite
332117;Plena Noite
332119;Plena Noite
332120;Plena Noite
332121;Plena Noite
332122;Plena Noite
332123;Amanhecer
332124;Plena Noite
332125;Plena Noite
332126;Plena Noite
332127;Plena Noite
332128;Pleno dia
332129;Plena Noite
332130;Pleno dia
332131;Plena Noite
332132;Plena Noite
332133;Plena Noite
332134;Plena Noite
332135;Plena Noite
332136;Plena Noite
332138;Plena Noite
332139;Plena Noite
332140;Plena Noite
332141;Plena Noite
332142;Pleno dia
332143;Pleno dia
332144;Plena Noite
332145;Plena Noite
332147;Plena Noite
332149;Plena Noite
332150;Plena Noite
332151;Amanhecer
332152;Plena Noite
332153;Pleno dia
332155;Pleno dia
332156;Amanhecer
332158;Pleno dia
332159;Plena Noite
332161;Amanhecer
332163;Plena Noite
332165;Pleno dia
332166;Pleno dia
332167;Pleno dia
332168;Pleno dia
332169;Pleno dia
332170;Pleno dia
332171;Amanhecer
332172;Pleno dia
332173;Pleno dia
332174;Pleno dia
332177;Pleno dia
332179;Pleno dia
332181;Pleno dia
332183;Pleno dia
332184;Pleno dia
332185;Pleno dia
