f_acidente;d_horario
331693;00:02:00
331694;00:15:00
331696;00:00:00
331699;01:20:00
331701;00:30:00
331702;01:20:00
331703;01:35:00
331704;00:45:00
331706;00:15:00
331707;01:38:00
331708;01:00:00
331709;02:00:00
331710;02:53:00
331711;02:45:00
331712;02:19:00
331714;03:15:00
331715;03:30:00
331716;03:30:00
331717;03:30:00
331718;02:00:00
331719;04:15:00
331721;03:50:00
331722;04:10:00
331724;04:25:00
331725;04:15:00
331726;04:30:00
331727;04:00:00
331728;05:15:00
331729;03:50:00
331730;05:30:00
331731;05:50:00
331732;05:00:00
331733;06:00:00
331777;05:50:00
331778;05:50:00
331779;04:40:00
331780;06:45:00
331781;04:30:00
331782;06:45:00
331783;00:20:00
331785;05:20:00
331787;07:00:00
331788;05:15:00
331789;06:10:00
331790;06:20:00
331791;03:50:00
331792;07:30:00
331793;05:30:00
331794;07:45:00
331795;08:05:00
331797;05:45:00
331798;07:40:00
331800;08:30:00
331801;04:50:00
331804;08:05:00
331805;10:00:00
331807;10:25:00
331808;05:10:00
331809;10:00:00
331810;10:40:00
331811;10:30:00
331812;10:30:00
331813;11:00:00
331814;11:30:00
331815;10:10:00
331816;11:30:00
331817;10:20:00
331818;12:03:00
331819;12:10:00
331820;12:20:00
331821;11:55:00
331823;12:30:00
331824;13:00:00
331825;12:30:00
331827;13:10:00
331828;13:47:00
331829;13:55:00
331830;14:00:00
331833;14:15:00
331834;13:50:00
331835;14:00:00
331836;14:30:00
331837;08:40:00
331838;13:45:00
331839;15:10:00
331841;15:15:00
331842;13:00:00
331843;14:40:00
331844;15:20:00
331845;14:30:00
331846;14:50:00
331847;14:00:00
331848;15:25:00
331849;15:30:00
331850;15:00:00
331851;15:20:00
331852;15:30:00
331853;16:15:00
331854;16:15:00
331855;15:45:00
331856;16:10:00
331857;15:30:00
331858;15:40:00
331860;09:30:00
331861;06:40:00
331863;16:30:00
331864;17:10:00
331865;15:00:00
331866;17:20:00
331869;17:00:00
331870;11:00:00
331871;16:15:00
331873;15:55:00
331874;17:20:00
331875;17:15:00
331876;17:30:00
331878;17:30:00
331879;17:45:00
331881;14:30:00
331882;17:10:00
331883;16:00:00
331884;18:30:00
331885;16:10:00
331886;18:00:00
331887;18:15:00
331888;17:10:00
331889;18:40:00
331890;18:55:00
331891;18:20:00
331892;17:25:00
331893;19:20:00
331895;19:23:00
331896;20:00:00
331897;20:00:00
331898;13:30:00
331899;18:30:00
331900;20:20:00
331902;20:30:00
331903;17:30:00
331904;19:45:00
331905;20:00:00
331906;20:15:00
331907;18:10:00
331908;20:30:00
331909;20:00:00
331910;19:50:00
331911;17:15:00
331912;07:00:00
331914;21:10:00
331915;21:15:00
331916;18:58:00
331917;20:40:00
331918;21:00:00
331920;20:40:00
331922;21:00:00
331923;20:15:00
331924;20:30:00
331925;20:30:00
331927;19:00:00
331929;22:30:00
331930;19:45:00
331933;21:56:00
331934;23:00:00
331935;22:35:00
331937;22:05:00
331938;23:50:00
331939;00:07:00
331940;21:20:00
331941;00:10:00
331942;00:45:00
331944;00:00:00
331945;00:45:00
331946;02:20:00
331947;02:30:00
331948;03:15:00
331951;23:50:00
331952;05:00:00
331953;03:00:00
331954;04:00:00
