f_acidente;d_tipoacidente
331693;Colisão traseira
331694;Colisão com objeto
331696;Incêndio
331699;Colisão lateral
331701;Colisão traseira
331702;Saída de leito carroçável
331703;Saída de leito carroçável
331704;Colisão lateral
331706;Saída de leito carroçável
331707;Saída de leito carroçável
331708;Saída de leito carroçável
331709;Atropelamento de Pedestre
331710;Colisão traseira
331711;Colisão frontal
331712;Atropelamento de Pedestre
331714;Capotamento
331715;Saída de leito carroçável
331716;Colisão frontal
331717;Saída de leito carroçável
331718;Atropelamento de Animal
331719;Colisão lateral
331721;Colisão com objeto
331722;Colisão traseira
331724;Tombamento
331725;Capotamento
331726;Saída de leito carroçável
331727;Saída de leito carroçável
331728;Saída de leito carroçável
331729;Colisão frontal
331730;Tombamento
331731;Saída de leito carroçável
331732;Saída de leito carroçável
331733;Capotamento
331777;Colisão com objeto
331778;Saída de leito carroçável
331779;Atropelamento de Animal
331780;Colisão traseira
331781;Colisão frontal
331782;Tombamento
331783;Colisão frontal
331785;Saída de leito carroçável
331787;Colisão com objeto
331788;Colisão traseira
331789;Colisão traseira
331790;Colisão transversal
331791;Saída de leito carroçável
331792;Saída de leito carroçável
331793;Saída de leito carroçável
331794;Capotamento
331795;Atropelamento de Pedestre
331797;Colisão com objeto
331798;Tombamento
331800;Saída de leito carroçável
331801;Saída de leito carroçável
331804;Colisão traseira
331805;Atropelamento de Pedestre
331807;Saída de leito carroçável
331808;Colisão com objeto
331809;Queda de ocupante de veículo
331810;Colisão lateral
331811;Saída de leito carroçável
331812;Saída de leito carroçável
331813;Colisão lateral
331814;Colisão transversal
331815;Tombamento
331816;Saída de leito carroçável
331817;Saída de leito carroçável
331818;Colisão com objeto
331819;Saída de leito carroçável
331820;Colisão frontal
331821;Saída de leito carroçável
331823;Colisão lateral
331824;Saída de leito carroçável
331825;Colisão traseira
331827;Saída de leito carroçável
331828;Saída de leito carroçável
331829;Colisão traseira
331830;Capotamento
331833;Saída de leito carroçável
331834;Colisão transversal
331835;Saída de leito carroçável
331836;Colisão traseira
331837;Saída de leito carroçável
331838;Colisão frontal
331839;Capotamento
331841;Colisão transversal
331842;Colisão traseira
331843;Colisão frontal
331844;Tombamento
331845;Capotamento
331846;Colisão transversal
331847;Saída de leito carroçável
331848;Saída de leito carroçável
331849;Tombamento
331850;Colisão com objeto
331851;Saída de leito carroçável
331852;Queda de ocupante de veículo
331853;Saída de leito carroçável
331854;Saída de leito carroçável
331855;Saída de leito carroçável
331856;Colisão lateral
331857;Incêndio
331858;Queda de ocupante de veículo
331860;Colisão frontal
331861;Saída de leito carroçável
331863;Colisão traseira
331864;Colisão frontal
331865;Saída de leito carroçável
331866;Saída de leito carroçável
331869;Tombamento
331870;Saída de leito carroçável
331871;Colisão traseira
331873;Saída de leito carroçável
331874;Saída de leito carroçável
331875;Saída de leito carroçável
331876;Colisão com objeto
331878;Colisão com objeto
331879;Saída de leito carroçável
331881;Colisão transversal
331882;Saída de leito carroçável
331883;Colisão traseira
331884;Colisão frontal
331885;Capotamento
331886;Tombamento
331887;Colisão transversal
331888;Saída de leito carroçável
331889;Colisão traseira
331890;Colisão traseira
331891;Colisão frontal
331892;Incêndio
331893;Queda de ocupante de veículo
331895;Queda de ocupante de veículo
331896;Tombamento
331897;Colisão lateral
331898;Saída de leito carroçável
331899;Colisão traseira
331900;Colisão traseira
331902;Colisão transversal
331903;Colisão traseira
331904;Tombamento
331905;Queda de ocupante de veículo
331906;Saída de leito carroçável
331907;Tombamento
331908;Colisão transversal
331909;Colisão frontal
331910;Colisão transversal
331911;Colisão com objeto
331912;Saída de leito carroçável
331914;Colisão frontal
331915;Colisão traseira
331916;Atropelamento de Pedestre
331917;Saída de leito carroçável
331918;Colisão lateral mesmo sentido
331920;Atropelamento de Pedestre
331922;Colisão traseira
331923;Colisão traseira
331924;Atropelamento de Pedestre
331925;Incêndio
331927;Colisão traseira
331929;Atropelamento de Animal
331930;Colisão lateral sentido oposto
331933;Colisão frontal
331934;Colisão traseira
331935;Saída de leito carroçável
331937;Colisão lateral sentido oposto
331938;Colisão com objeto
331939;Atropelamento de Pedestre
331940;Queda de ocupante de veículo
331941;Colisão transversal
331942;Saída de leito carroçável
331944;Colisão frontal
331945;Saída de leito carroçável
331946;Atropelamento de Pedestre
331947;Saída de leito carroçável
331948;Saída de leito carroçável
331951;Atropelamento de Animal
331952;Colisão lateral
331953;Colisão com objeto
331954;Saída de leito carroçável
331956;Queda de ocupante de veículo
331957;Saída de leito carroçável
331958;Saída de leito carroçável
331959;Saída de leito carroçável
331960;Saída de leito carroçável
331961;Colisão traseira
331962;Queda de ocupante de veículo
331963;Colisão lateral
331964;Colisão com objeto
331965;Capotamento
331967;Saída de leito carroçável
331968;Colisão com objeto
331969;Saída de leito carroçável
331971;Colisão traseira
331972;Colisão lateral mesmo sentido
331977;Saída de leito carroçável
331978;Colisão com objeto
331979;Colisão traseira
331980;Colisão transversal
331981;Colisão transversal
331982;Colisão traseira
331983;Engavetamento
331984;Colisão transversal
331985;Queda de ocupante de veículo
331987;Saída de leito carroçável
331988;Queda de ocupante de veículo
331989;Colisão traseira
331990;Saída de leito carroçável
331991;Colisão lateral
331992;Colisão traseira
331993;Colisão frontal
331994;Engavetamento
331995;Colisão lateral
331996;Colisão frontal
331997;Saída de leito carroçável
331998;Colisão transversal
331999;Colisão traseira
332001;Colisão lateral
332002;Tombamento
332003;Saída de leito carroçável
332005;Colisão traseira
332006;Colisão lateral mesmo sentido
332007;Colisão traseira
332008;Colisão com objeto
332009;Saída de leito carroçável
332010;Saída de leito carroçável
332011;Colisão com objeto
332012;Capotamento
332013;Colisão traseira
332014;Colisão traseira
332015;Tombamento
332016;Colisão traseira
332017;Colisão transversal
332018;Atropelamento de Pedestre
332019;Colisão com objeto
332020;Colisão traseira
332022;Colisão traseira
332023;Colisão transversal
332024;Tombamento
332025;Saída de leito carroçável
332026;Colisão transversal
332027;Saída de leito carroçável
332028;Saída de leito carroçável
332030;Colisão lateral mesmo sentido
332032;Saída de leito carroçável
332033;Tombamento
332034;Colisão transversal
332035;Tombamento
332036;Capotamento
332037;Colisão lateral mesmo sentido
332039;Saída de leito carroçável
332041;Saída de leito carroçável
332042;Capotamento
332043;Colisão traseira
332044;Colisão frontal
332045;Colisão frontal
332046;Incêndio
332048;Saída de leito carroçável
332049;Saída de leito carroçável
332052;Colisão traseira
332053;Saída de leito carroçável
332054;Queda de ocupante de veículo
332055;Colisão traseira
332056;Saída de leito carroçável
332057;Colisão lateral mesmo sentido
332059;Colisão com objeto
332060;Colisão transversal
332061;Colisão lateral
332062;Colisão traseira
332063;Saída de leito carroçável
332064;Colisão com objeto
332065;Colisão traseira
332066;Saída de leito carroçável
332068;Colisão traseira
332069;Atropelamento de Pedestre
332070;Colisão com objeto
332071;Tombamento
332072;Saída de leito carroçável
332073;Colisão traseira
332074;Saída de leito carroçável
332075;Colisão traseira
332076;Colisão frontal
