f_acidente;d_tipopista
331693;Dupla
331694;Dupla
331696;Dupla
331699;Múltipla
331701;Múltipla
331702;Simples
331703;Dupla
331704;Simples
331706;Simples
331707;Simples
331708;Dupla
331709;Dupla
331710;Múltipla
331711;Dupla
331712;Dupla
331714;Dupla
331715;Dupla
331716;Simples
331717;Dupla
331718;Simples
331719;Dupla
331721;Dupla
331722;Simples
331724;Simples
331725;Simples
331726;Simples
331727;Dupla
331728;Dupla
331729;Simples
331730;Dupla
331731;Dupla
331732;Dupla
331733;Simples
331777;Dupla
331778;Dupla
331779;Simples
331780;Simples
331781;Simples
331782;Simples
331783;Simples
331785;Simples
331787;Simples
331788;Dupla
331789;Dupla
331790;Dupla
331791;Simples
331792;Simples
331793;Simples
331794;Dupla
331795;Múltipla
331797;Simples
331798;Dupla
331800;Dupla
331801;Simples
331804;Simples
331805;Dupla
331807;Dupla
331808;Dupla
331809;Simples
331810;Múltipla
331811;Simples
331812;Dupla
331813;Simples
331814;Simples
331815;Simples
331816;Simples
331817;Dupla
331818;Dupla
331819;Dupla
331820;Simples
331821;Simples
331823;Simples
331824;Dupla
331825;Múltipla
331827;Simples
331828;Simples
331829;Simples
331830;Múltipla
331833;Dupla
331834;Simples
331835;Simples
331836;Dupla
331837;Simples
331838;Simples
331839;Dupla
331841;Dupla
331842;Múltipla
331843;Simples
331844;Simples
331845;Simples
331846;Simples
331847;Dupla
331848;Dupla
331849;Simples
331850;Dupla
331851;Dupla
331852;Dupla
331853;Dupla
331854;Dupla
331855;Dupla
331856;Múltipla
331857;Simples
331858;Dupla
331860;Simples
331861;Dupla
331863;Dupla
331864;Simples
331865;Simples
331866;Dupla
331869;Simples
331870;Múltipla
331871;Dupla
331873;Dupla
331874;Dupla
331875;Dupla
331876;Simples
331878;Dupla
331879;Simples
331881;Simples
331882;Simples
331883;Simples
331884;Simples
331885;Dupla
331886;Dupla
331887;Dupla
331888;Simples
331889;Dupla
331890;Dupla
331891;Simples
331892;Simples
331893;Múltipla
331895;Simples
331896;Dupla
331897;Simples
331898;Simples
331899;Simples
331900;Dupla
331902;Simples
331903;Simples
331904;Simples
331905;Simples
331906;Dupla
331907;Simples
331908;Dupla
331909;Simples
331910;Simples
331911;Simples
331912;Simples
331914;Simples
331915;Dupla
331916;Simples
331917;Dupla
331918;Simples
331920;Dupla
331922;Simples
331923;Dupla
331924;Múltipla
331925;Simples
331927;Simples
331929;Dupla
331930;Simples
331933;Simples
331934;Simples
331935;Dupla
331937;Simples
331938;Múltipla
331939;Dupla
331940;Simples
331941;Simples
331942;Dupla
331944;Simples
331945;Simples
331946;Múltipla
331947;Simples
331948;Dupla
331951;Simples
331952;Simples
331953;Simples
331954;Simples
331956;Simples
331957;Dupla
331958;Simples
331959;Simples
331960;Simples
331961;Simples
331962;Simples
331963;Dupla
331964;Múltipla
331965;Dupla
331967;Dupla
331968;Dupla
331969;Simples
331971;Simples
331972;Simples
331977;Simples
331978;Dupla
331979;Dupla
331980;Simples
331981;Simples
331982;Dupla
331983;Múltipla
331984;Simples
331985;Dupla
331987;Simples
331988;Dupla
331989;Simples
331990;Dupla
331991;Simples
331992;Dupla
331993;Simples
331994;Dupla
331995;Simples
331996;Simples
331997;Dupla
331998;Simples
331999;Dupla
332001;Dupla
332002;Múltipla
332003;Dupla
332005;Múltipla
332006;Dupla
332007;Múltipla
332008;Dupla
332009;Dupla
332010;Simples
332011;Dupla
332012;Simples
332013;Dupla
332014;Dupla
332015;Dupla
332016;Múltipla
332017;Simples
332018;Simples
332019;Dupla
332020;Dupla
332022;Dupla
332023;Simples
332024;Dupla
332025;Simples
332026;Simples
332027;Simples
332028;Dupla
332030;Dupla
332032;Simples
332033;Múltipla
332034;Simples
332035;Múltipla
332036;Dupla
332037;Dupla
332039;Dupla
332041;Dupla
332042;Simples
332043;Simples
332044;Simples
332045;Simples
332046;Simples
332048;Dupla
332049;Dupla
332052;Dupla
332053;Simples
332054;Dupla
332055;Simples
332056;Simples
332057;Simples
332059;Dupla
332060;Simples
332061;Simples
332062;Dupla
332063;Dupla
332064;Dupla
332065;Dupla
332066;Dupla
332068;Dupla
332069;Dupla
332070;Dupla
332071;Dupla
332072;Dupla
332073;Dupla
332074;Simples
332075;Simples
332076;Simples
332077;Simples
332078;Dupla
332079;Dupla
332081;Simples
332082;Simples
332083;Simples
332085;Simples
332086;Simples
332087;Dupla
332088;Simples
332089;Dupla
332090;Dupla
332091;Múltipla
332092;Dupla
332093;Simples
332094;Simples
332095;Dupla
332096;Dupla
332097;Simples
332098;Simples
332100;Dupla
332101;Simples
332102;Simples
332103;Dupla
332104;Dupla
332105;Simples
332106;Simples
332107;Simples
332108;Dupla
332110;Dupla
332111;Dupla
332112;Dupla
332113;Dupla
332114;Simples
332116;Simples
332117;Simples
332119;Simples
332120;Dupla
332121;Simples
